sim_s,stage,x,y,z,yaw,odom_x,odom_y,odom_v,odom_w,margin_m,nearest_model,front_strip_range_m
15.275,route_2_to_0.8,-5.177704712366353,3.835966762464117e-10,0.006132877602042932,-2.6374061113862816e-09,1.0101208007103093,-2.0264209806498975e-09,0.27999999999474,4.744770884434318e-09,0.8739211514242211,entrance_curb_-4.83_1,inf
15.486,route_2_to_0.8,-5.118624698918883,2.802539828263206e-10,0.0061328696911618595,-2.3786560748385498e-09,1.067240800709234,-1.967778885886526e-09,0.27999999999474,4.294736609355619e-09,0.8648674119198017,entrance_curb_-4.83_1,inf
15.701,route_2_to_0.8,-5.058424688252853,1.8475509194209803e-10,0.006132858930660844,-2.1525327126684103e-09,1.1243608007081591,-1.859194851644095e-09,0.2799999999947511,3.9289002159186504e-09,0.8578241139057456,entrance_curb_-4.83_1,inf
15.92,route_2_to_0.8,-4.997104681337752,9.619114862328741e-11,0.006132845718352424,-1.955071011159819e-09,1.1910008007069046,-1.675201792650905e-09,0.27999999999474,3.5189414106643225e-09,0.8529439537394605,entrance_curb_-4.83_1,inf
16.136,route_2_to_0.8,-4.936624679022113,1.6288211931578584e-11,0.00613283119776754,-1.786329331246419e-09,1.2481208007058302,-1.472606244753959e-09,0.2799999999947511,3.2542427534061124e-09,0.850419122311824,entrance_curb_-4.83_1,inf
16.363,route_2_to_0.8,-4.873064681756399,-6.042090340623828e-11,0.006132816031216217,-1.6231852313599169e-09,1.3147608007045815,-1.1883615031298178e-09,0.27999999999474,2.9790865115288513e-09,0.8499999999395786,entrance_curb_-4.83_-1,inf
16.568,route_2_to_0.8,-4.815664690355874,-1.2409527958218658e-10,0.006132821876153552,-1.281301104090999e-09,1.3718808007035062,-9.07236441446559e-10,0.2799999999947511,2.484894010986834e-09,0.8499999998759045,entrance_curb_-4.83_-1,inf
16.77,route_2_to_0.8,-4.759104694887182,-1.7339403719914087e-10,0.006132835509216126,-9.592670690065647e-10,1.4290008007024309,-5.972624872631574e-10,0.27999999999474,1.9016687865990704e-09,0.8500002503176001,entrance_curb_-4.83_-1,inf
16.998,route_2_to_0.8,-4.695264694971795,-2.1480104868408075e-10,0.006132850604361152,-6.455989321776294e-10,1.486120800701359,-2.652174835616686e-10,0.2799999999947511,1.4043246852129558e-09,0.8513090454467964,entrance_curb_-4.83_-1,inf
17.201,route_2_to_0.8,-4.638424691042436,-2.4082770630686673e-10,0.006132862365032166,-4.056686920468254e-10,1.5527608007001112,1.418881766889347e-10,0.27999999999474,8.583456526190687e-10,0.8546122755910466,entrance_curb_-4.83_-1,inf
17.418,route_2_to_0.8,-4.577664683362346,-2.590391171367638e-10,0.006132872519730367,-1.84422798331384e-10,1.6098808006990408,5.019080748481935e-10,0.2799999999947511,4.713075807763567e-10,0.8603559131025749,entrance_curb_-4.83_-1,inf
17.624,route_2_to_0.8,-4.519984673530437,-2.684581024294439e-10,0.0061328794201854,-3.7296341958928044e-12,1.6670008006979664,8.675274874723241e-10,0.2799999999947511,1.5041731301373084e-10,0.8679021466334804,entrance_curb_-4.83_-1,inf
17.827,route_2_to_0.8,-4.463144662273763,-2.7132308451511804e-10,0.006132883322812489,1.5040571563801019e-10,1.724120800696891,1.2350262340107159e-09,0.27999999999474,-1.4321877017664514e-10,0.8773054693782365,entrance_curb_-4.83_-1,inf
18.033,route_2_to_0.8,-4.405464650051315,-2.662578349225058e-10,0.0061328841865449565,2.7689518160880945e-10,1.7812408006958158,1.6010321894469345e-09,0.2799999999947511,-3.8005441088136e-10,0.8888091144215697,entrance_curb_-4.83_-1,inf
18.259,route_2_to_0.8,-4.342184633909367,-2.4926349162070807e-10,0.006132881575843132,3.4345554434549854e-10,1.8478808006945617,2.022587911940769e-09,0.2799999999947511,-4.993854792055866e-10,0.9036534338681139,entrance_curb_-4.83_-1,inf
18.47,route_2_to_0.8,-4.2831046188348605,-2.3035001180033974e-10,0.006132875870389891,4.1143195394134677e-10,1.9050008006934864,2.3774443041833486e-09,0.2799999999947511,-6.376977798863077e-10,0.9195595837943378,entrance_curb_-4.83_-1,inf
18.687,route_2_to_0.8,-4.222344605744245,-2.083118884046971e-10,0.0061328669707043275,4.712792791832185e-10,1.971640800692232,2.7819353460698513e-09,0.2799999999947511,-7.633320498987285e-10,0.9379198210536284,entrance_curb_-4.83_-1,inf
18.928,route_2_to_0.8,-4.154864595166949,-1.8118678168346172e-10,0.006132854012224748,5.273491377276676e-10,2.038280800690978,3.174271589570166e-09,0.2799999999947733,-8.643981587855737e-10,0.9606106680371957,entrance_curb_-4.83_-1,inf
